date	close	volume	open	high	low
2016-12-01	0.2166	33	0.2166	0.2166	0.2166
2016-11-30	0.2184	1458	0.2184	0.2184	0.2184
2016-11-29	0.1638	0	0.1638	0.1638	0.1638
2016-11-28	0.1638	42	0.1638	0.1638	0.1638
2016-11-25	0.1614	0	0.1614	0.1614	0.1614
2016-11-23	0.1614	0	0.1614	0.1614	0.1614
2016-11-22	0.1614	0	0.1614	0.1614	0.1614
2016-11-21	0.1614	0	0.1614	0.1614	0.1614
2016-11-18	0.1614	4017	0.2232	0.2232	0.1614
2016-11-17	0.2184	192	0.2154	0.2196	0.2154
2016-11-16	0.2184	12083	0.207	0.2184	0.1632
2016-11-15	0.162	11100	0.2154	0.2178	0.162
2016-11-14	0.2136	583	0.2136	0.2136	0.2136
2016-11-11	0.2064	1000	0.2064	0.2064	0.2064
2016-11-10	0.207	500	0.207	0.207	0.207
2016-11-09	0.186	333	0.1848	0.186	0.1848
2016-11-08	0.2178	16759	0.2196	0.2202	0.2178
2016-11-07	0.2196	167	0.2196	0.2196	0.2196
2016-11-04	0.1722	0	0.1722	0.1722	0.1722
2016-11-03	0.1722	0	0.1722	0.1722	0.1722
2016-11-02	0.1722	0	0.1722	0.1722	0.1722
2016-11-01	0.1722	100	0.1722	0.1722	0.1722
2016-10-31	0.18	0	0.18	0.18	0.18
2016-10-28	0.18	0	0.18	0.18	0.18
2016-10-27	0.18	0	0.18	0.18	0.18
2016-10-26	0.18	1167	0.18	0.18	0.18
2016-10-25	0.1828	0	0.1828	0.1828	0.1828
2016-10-24	0.1828	0	0.1828	0.1828	0.1828
2016-10-21	0.1828	133	0.2108	0.2108	0.1828
2016-10-20	0.2292	0	0.2292	0.2292	0.2292
2016-10-19	0.2292	0	0.2292	0.2292	0.2292
2016-10-18	0.2292	333	0.2292	0.2292	0.2292
2016-10-17	0.18	4167	0.18	0.18	0.18
2016-10-14	0.21	0	0.21	0.21	0.21
2016-10-13	0.21	0	0.21	0.21	0.21
2016-10-12	0.21	0	0.21	0.21	0.21
2016-10-11	0.21	0	0.21	0.21	0.21
2016-10-10	0.21	0	0.21	0.21	0.21
2016-10-07	0.21	50001	0.21	0.246	0.174
2016-10-06	0.21	83	0.21	0.21	0.21
2016-10-05	0.204	0	0.204	0.204	0.204
2016-10-04	0.204	0	0.204	0.204	0.204
2016-10-03	0.204	1333	0.204	0.204	0.204
2016-09-30	0.192	0	0.192	0.192	0.192
2016-09-29	0.192	0	0.192	0.192	0.192
2016-09-28	0.192	0	0.192	0.192	0.192
2016-09-27	0.192	0	0.192	0.192	0.192
2016-09-26	0.192	0	0.192	0.192	0.192
2016-09-23	0.192	0	0.192	0.192	0.192
2016-09-22	0.192	0	0.192	0.192	0.192
2016-09-21	0.192	0	0.192	0.192	0.192
2016-09-20	0.192	1667	0.192	0.192	0.192
2016-09-19	0.2346	0	0.2346	0.2346	0.2346
2016-09-16	0.2346	0	0.2346	0.2346	0.2346
2016-09-15	0.2346	21	0.2346	0.2346	0.2346
2016-09-14	0.246	1417	0.2352	0.246	0.2352
